base_name,task_id,cluster_label,is_outlier
44gg,t0,0,False
44gg,t1,0,False
44gg,t2,0,False
44gg,t3,1,False
44gg,t4,1,False
44gg,t5,1,False
44gg,t6,2,False
44gg,t7,2,False
44gg,t8,2,False
44gg,t9,3,False
44gg,t10,3,False
44gg,t11,3,False
